Q9 v2.3 - Lista de propostas/votacoes

Q9 v2.3 - Propostas disponiveis
ano  | id_votacao  | proposicao                                             | sim | nao | outros | total
2025 | 2524984-33  | REQ 3754/2025                                          | 350 | 77  | 3      | 430  
2025 | 2482078-57  | REQ 474/2025                                           | 317 | 111 | 2      | 430  
2025 | 2471177-56  | REQ 2042/2025                                          | 328 | 100 | 2      | 430  
2025 | 2541109-45  | REQ 3288/2025                                          | 281 | 148 |        | 429  
2025 | 2157806-125 | REQ 3074/2019                                          | 158 | 269 | 2      | 429  
2025 | 106701-223  | REQ 2007/2015 => PL 347/2003                           | 427 | 1   | 1      | 429  
2025 | 264726-144  | REQ 3515/2015 => PL 4149/2004                          | 273 | 153 | 2      | 428  
2025 | 2252295-130 | REQ 1056/2020                                          | 316 | 110 | 2      | 428  
2025 | 545304-128  | RPD 1 => PL 3899/2012                                  | 148 | 277 | 2      | 427  
2025 | 2579832-41  | REQ 4666/2025                                          | 110 | 316 | 1      | 427  
2025 | 2564132-13  | REQ 3877/2025                                          | 72  | 350 | 5      | 427  
2025 | 2498090-44  | PLV 3/2025                                             | 30  | 394 | 3      | 427  
2025 | 2490985-54  | REQ 3541/2025                                          | 310 | 116 | 1      | 427  
2025 | 2481721-32  | REQ 2439/2025                                          | 425 | 1   | 1      | 427  
2025 | 2471177-108 | REQ 2042/2025                                          | 302 | 124 | 1      | 427  
2025 | 2471177-102 | REQ 2042/2025                                          | 310 | 115 | 2      | 427  
2025 | 2558628-8   | REQ 3762/2025                                          | 310 | 115 | 1      | 426  
2025 | 2541109-48  | REQ 3288/2025                                          | 293 | 133 |        | 426  
2025 | 2497993-33  | PRLP 1 => PL 1708/2025                                 | 289 | 136 | 1      | 426  
2025 | 2471177-99  | REQ 2042/2025                                          | 311 | 114 | 1      | 426  
2025 | 2157806-177 | REQ 3074/2019                                          | 327 | 98  | 1      | 426  
2025 | 2595686-22  | EMP 1 => PRC 86/2025                                   | 242 | 181 | 2      | 425  
2025 | 2574143-8   | REQ 4363/2025                                          | 318 | 104 | 3      | 425  
2025 | 2494408-43  | EMP 1 => PL 1466/2025                                  | 290 | 134 | 1      | 425  
2025 | 2279186-84  | REQ 860/2021                                           | 148 | 276 | 1      | 425  
2025 | 2541991-38  | DTQ 1 => MPV 1308/2025                                 | 300 | 123 | 1      | 424  
2025 | 2122682-86  | REQ 7697/2017 => PEC 302/2017                          | 417 | 6   | 1      | 424  
2025 | 106701-227  | REQ 2007/2015 => PL 347/2003                           | 269 | 154 | 1      | 424  
2025 | 2564274-37  | REQ 4037/2025                                          | 299 | 119 | 5      | 423  
2025 | 2501358-37  | REQ 4187/2025                                          | 13  | 409 | 1      | 423  
2025 | 2579995-8   | REQ 4624/2025                                          | 275 | 146 | 1      | 422  
2025 | 2482078-49  | REQ 474/2025                                           | 124 | 297 | 1      | 422  
2025 | 2472106-8   | REQ 4624/2024                                          | 371 | 49  | 2      | 422  
2025 | 2279186-97  | REQ 860/2021                                           | 269 | 152 | 1      | 422  
2025 | 604557-205  | REQ 8795/2018 => PL 6969/2013                          | 351 | 68  | 2      | 421  
2025 | 2571484-9   | RPD 1 => REC 22/2025                                   | 50  | 370 | 1      | 421  
2025 | 2554285-43  | REQ 4016/2025                                          | 127 | 292 | 2      | 421  
2025 | 2428478-62  | REC 1/2025                                             | 171 | 245 | 4      | 420  
