ano_dados;id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2023;1548579-126;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;GOVERNO;Sim;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;BLMDBPSDREPPODE;Sim;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-126;MAIORIA;Sim;PLEN;"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 2.148, de 2015, adotada pelo relator da Comissão Especial, ressalvado o destaque. Sim: 299; não: 103; abstenção: 1; total: 403."
2023;1548579-122;FDRPSOL-REDE;Sim;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;NOVO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;MINORIA;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;BLMDBPSDREPPODE;Nao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;MAIORIA;;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;PL;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;FDRPT-PCDOB-PV;Nao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;GOVERNO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;BLUNIPPFDRPSDBCID...;Nao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-122;OPOSICAO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 51; não: 295; total: 346."
2023;1548579-114;BLUNIPPFDRPSDBCID...;Nao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;PL;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;FDRPSOL-REDE;Sim;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;GOVERNO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;MAIORIA;;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;FDRPT-PCDOB-PV;Nao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;MINORIA;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;BLMDBPSDREPPODE;Nao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;NOVO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-114;OPOSICAO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 56; não: 281; total: 337."
2023;1548579-109;GOVERNO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;OPOSICAO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;FDRPT-PCDOB-PV;Nao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;BLMDBPSDREPPODE;Nao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;BLUNIPPFDRPSDBCID...;Nao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;PL;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;MAIORIA;Nao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;MINORIA;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;NOVO;Obstrucao;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;1548579-109;FDRPSOL-REDE;Sim;PLEN;"Rejeitado o Requerimento. Sim: 52; não: 267; abstenção: 1; total: 320."
2023;2410517-10;PL;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;MINORIA;Obstrucao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;MAIORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;GOVERNO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;FDRPSOL-REDE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;NOVO;Obstrucao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;BLMDBPSDREPPODE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2410517-10;OPOSICAO;Obstrucao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 318; não: 21; abstenção: 2; total:341."
2023;2413230-8;OPOSICAO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;FDRPSOL-REDE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;NOVO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;PL;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;GOVERNO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;BLMDBPSDREPPODE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;MINORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2413230-8;MAIORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 396; não: 7; abstenção: 1; total: 404."
2023;2076754-124;OPOSICAO;Sim;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2076754-124;MINORIA;Sim;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
2023;2076754-124;REPUBLICANOS;Sim;CPASF;"Aprovado o Parecer com o seguinte resultado: 9 votos ""Sim"", 3 votos ""Não"". Quórum de votação: 12 votos."
