Q8 complemento - ranking completo de influencia legislativa global
 id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
      156190 | Marcel van Hattem                   |                2395 |                     0 |              
      178983 | Marcio Alvino                       |                 137 |                     0 |              
      179001 | Márcio Biolchi                      |                  77 |                     0 |              
      226410 | Márcio Correa                       |                  25 |                     0 |              
      220687 | Márcio Honaiser                     |                 675 |                     0 |              
       81055 | Márcio Jerry                        |                 380 |                     0 |              
      150418 | Márcio Marinho                      |                 892 |                     0 |              
      204522 | Marco Bertaiolli                    |                 294 |                     0 |              
      219585 | Marco Brasil                        |                 180 |                     0 |              
      160535 | Marcon                              |                1077 |                     0 |              
      204431 | Marcos Aurélio Sampaio              |                  46 |                     0 |              
      204506 | Marcos Pereira                      |                7773 |                     0 |              
      220547 | Marcos Pollon                       |                1769 |                     0 |              
      178943 | Marcos Soares                       |                 178 |                     0 |              
      220604 | Marcos Tavares                      |                2637 |                     0 |              
      220668 | Maria Arraes                        |                 731 |                     0 |              
       74398 | Maria do Rosário                    |                1100 |                     0 |              
      227275 | Mariana Carvalho                    |                  31 |                     0 |              
      204540 | Maria Rosas                         |                 628 |                     0 |              
      220637 | Marina Silva                        |                   5 |                     0 |              
      220655 | Mario Frias                         |                 727 |                     0 |              
       74158 | Mário Heringer                      |                 947 |                     0 |              
      178858 | Mário Negromonte Jr.                |                 160 |                     0 |              
      204566 | Marreca Filho                       |                 409 |                     0 |              
      220572 | Marussa Boldrin                     |                 599 |                     0 |              
      178843 | Marx Beltrão                        |                 492 |                     0 |              
      220661 | Matheus Noronha                     |                 124 |                     0 |              
      220609 | Maurício Carvalho                   |                 460 |                     0 |              
      220628 | Mauricio do Vôlei                   |                 436 |                     0 |              
      220550 | Mauricio Marcon                     |                1172 |                     0 |              
      220647 | Mauricio Neves                      |                 393 |                     0 |              
      204486 | Mauro Benevides Filho               |                 357 |                     0 |              
      220607 | Max Lemos                           |                 651 |                     0 |              
      220591 | Meire Serafim                       |                 668 |                     0 |              
       74428 | Mendonça Filho                      |                 648 |                     0 |              
      188097 | Merlong Solano                      |                 521 |                     0 |              
      220585 | Mersinho Lucena                     |                 356 |                     0 |              
      220530 | Messias Donato                      |                1665 |                     0 |              
      171786 | Miguel Ângelo                       |                 265 |                     0 |              
      178985 | Miguel Lombardi                     |                 240 |                     0 |              
      154178 | Milton Vieira                       |                  88 |                     0 |              
      178895 | Misael Varella                      |                 176 |                     0 |              
      229225 | Missionária Michele Collins         |                 124 |                     0 |              
      160561 | Missionário José Olimpio            |                  40 |                     0 |              
      178997 | Moses Rodrigues                     |                 457 |                     0 |              
      220617 | Murillo Gouvea                      |                 426 |                     0 |              
      220584 | Murilo Galdino                      |                 325 |                     0 |              
      204453 | Natália Bonavides                   |                 414 |                     0 |              
      233218 | Nelinho Freitas                     |                   5 |                     0 |              
      204449 | Nelson Barbudo                      |                 261 |                     0 |              
      220622 | Nely Aquino                         |                 327 |                     0 |              
      220703 | Neto Carletto                       |                 462 |                     0 |              
      229939 | Newton Bonin                        |                   3 |                     0 |              
      178896 | Newton Cardoso Jr                   |                 328 |                     0 |              
      204479 | Nicoletti                           |                 946 |                     0 |              
      209787 | Nikolas Ferreira                    |                1595 |                     0 |              
      178986 | Nilto Tatto                         |                1619 |                     0 |              
      227660 | Nitinho                             |                  77 |                     0 |              
       74159 | Odair Cunha                         |                 928 |                     0 |              
      204498 | Olival Marques                      |                 128 |                     0 |              
      178987 | Orlando Silva                       |                 466 |                     0 |              
       73692 | Osmar Terra                         |                 449 |                     0 |              
      204422 | Ossesio Silva                       |                 555 |                     0 |              
      204441 | Otoni de Paula                      |                 370 |                     0 |              
      204573 | Otto Alencar Filho                  |                 438 |                     0 |              
      220706 | Padovani                            |                 457 |                     0 |              
      160556 | Padre João                          |                1018 |                     0 |              
      230762 | Pastor Claudio Mariano              |                  19 |                     0 |              
      180214 | Pastor Diniz                        |                 606 |                     0 |              
      160642 | Pastor Eurico                       |                 596 |                     0 |              
      204570 | Pastor Gil                          |                 341 |                     0 |              
      220615 | Pastor Henrique Vieira              |                1425 |                     0 |              
      204553 | Pastor Sargento Isidório            |                 325 |                     0 |              
       74160 | Patrus Ananias                      |                1737 |                     0 |              
