Q9 - Vies ideologico dos deputados (direita / esquerda / centro)

Q9.1 - Catalogo de partidos por ideologia
 ideologia |                                  partidos                                  | qtd_partidos 
-----------+----------------------------------------------------------------------------+--------------
 centro    | AVANTE, CIDADANIA, MDB, MISSAO, PODE, PRD, PSD, PSDB, SOLIDARIEDADE, UNIAO |           10
 direita   | NOVO, PL, PP, REPUBLICANOS                                                 |            4
 esquerda  | PCDOB, PDT, PSB, PSOL, PT, PV, REDE                                        |            7
(3 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia 
---------------+-----------
 AVANTE        | centro
 CIDADANIA     | centro
 MDB           | centro
 MISSAO        | centro
 PODE          | centro
 PRD           | centro
 PSD           | centro
 PSDB          | centro
 SOLIDARIEDADE | centro
 UNIAO         | centro
 NOVO          | direita
 PL            | direita
 PP            | direita
 REPUBLICANOS  | direita
 PCDOB         | esquerda
 PDT           | esquerda
 PSB           | esquerda
 PSOL          | esquerda
 PT            | esquerda
 PV            | esquerda
 REDE          | esquerda
(21 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia | votos_sim | votos_nao | outros | total_votos | pct_sim 
      2023 | 2115253-167 | REQ 1364/2023                                                    | centro    |        37 |        93 |      0 |         130 |    28.5
      2023 | 2115253-167 | REQ 1364/2023                                                    | direita   |        81 |        72 |      1 |         154 |    52.6
      2023 | 2115253-167 | REQ 1364/2023                                                    | esquerda  |         0 |       101 |      0 |         101 |     0.0
      2023 | 2115253-172 | REQ 1364/2023                                                    | centro    |        32 |       102 |      0 |         134 |    23.9
      2023 | 2115253-172 | REQ 1364/2023                                                    | direita   |        15 |        78 |     61 |         154 |     9.7
      2023 | 2115253-172 | REQ 1364/2023                                                    | esquerda  |         0 |       105 |      0 |         105 |     0.0
      2023 | 2115253-175 | REQ 1364/2023                                                    | centro    |       104 |        42 |      1 |         147 |    70.7
      2023 | 2115253-175 | REQ 1364/2023                                                    | direita   |        79 |        74 |     12 |         165 |    47.9
      2023 | 2115253-175 | REQ 1364/2023                                                    | esquerda  |       110 |         3 |      0 |         113 |    97.3
      2023 | 2115253-179 | REQ 1364/2023                                                    | centro    |        94 |        40 |      0 |         134 |    70.1
      2023 | 2115253-179 | REQ 1364/2023                                                    | direita   |        72 |        81 |      1 |         154 |    46.8
      2023 | 2115253-179 | REQ 1364/2023                                                    | esquerda  |        99 |         1 |      0 |         100 |    99.0
      2023 | 2115253-183 | REQ 1364/2023                                                    | centro    |       102 |        37 |      0 |         139 |    73.4
      2023 | 2115253-183 | REQ 1364/2023                                                    | direita   |        77 |        73 |      1 |         151 |    51.0
      2023 | 2115253-183 | REQ 1364/2023                                                    | esquerda  |       104 |         0 |      0 |         104 |   100.0
      2023 | 2125189-161 | REQ 1785/2019                                                    | centro    |        12 |       123 |      1 |         136 |     8.8
      2023 | 2125189-161 | REQ 1785/2019                                                    | direita   |         5 |       147 |      1 |         153 |     3.3
      2023 | 2125189-161 | REQ 1785/2019                                                    | esquerda  |        81 |        18 |      0 |          99 |    81.8
      2023 | 2125189-174 | REQ 1785/2019                                                    | centro    |        11 |       130 |      0 |         141 |     7.8
      2023 | 2125189-174 | REQ 1785/2019                                                    | direita   |         3 |       158 |      1 |         162 |     1.9
      2023 | 2125189-174 | REQ 1785/2019                                                    | esquerda  |        92 |        16 |      0 |         108 |    85.2
      2023 | 2125189-176 | REQ 1785/2019                                                    | centro    |       131 |         7 |      0 |         138 |    94.9
      2023 | 2125189-176 | REQ 1785/2019                                                    | direita   |       159 |         3 |      1 |         163 |    97.5
      2023 | 2125189-176 | REQ 1785/2019                                                    | esquerda  |        12 |        91 |      1 |         104 |    11.5
      2023 | 2125189-180 | REQ 1785/2019                                                    | centro    |        22 |       120 |      0 |         142 |    15.5
      2023 | 2125189-180 | REQ 1785/2019                                                    | direita   |         3 |       153 |      1 |         157 |     1.9
      2023 | 2125189-180 | REQ 1785/2019                                                    | esquerda  |        94 |         1 |      0 |          95 |    98.9
      2023 | 2125189-191 | REQ 1785/2019                                                    | centro    |       113 |        18 |      0 |         131 |    86.3
      2023 | 2125189-191 | REQ 1785/2019                                                    | direita   |       147 |         5 |      1 |         153 |    96.1
      2023 | 2125189-191 | REQ 1785/2019                                                    | esquerda  |        13 |        81 |      0 |          94 |    13.8
      2023 | 2133009-120 | PRL 1 CCJC => PL 7552/2017                                       | centro    |         3 |        13 |      0 |          16 |    18.8
      2023 | 2133009-120 | PRL 1 CCJC => PL 7552/2017                                       | direita   |        17 |         4 |      0 |          21 |    81.0
      2023 | 2133009-120 | PRL 1 CCJC => PL 7552/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2133009-126 | PRL 1 CCJC => PL 7552/2017                                       | centro    |         2 |        10 |      0 |          12 |    16.7
      2023 | 2133009-126 | PRL 1 CCJC => PL 7552/2017                                       | direita   |        12 |         3 |      0 |          15 |    80.0
      2023 | 2133009-126 | PRL 1 CCJC => PL 7552/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2138680-43  | PRL 1 CCJC => PL 7687/2017                                       | centro    |         5 |         8 |      0 |          13 |    38.5
      2023 | 2138680-43  | PRL 1 CCJC => PL 7687/2017                                       | direita   |        14 |         2 |      0 |          16 |    87.5
      2023 | 2138680-43  | PRL 1 CCJC => PL 7687/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2138680-57  | PRL 1 CCJC => PL 7687/2017                                       | centro    |         5 |         8 |      0 |          13 |    38.5
      2023 | 2138680-57  | PRL 1 CCJC => PL 7687/2017                                       | direita   |         4 |        12 |      0 |          16 |    25.0
      2023 | 2138680-57  | PRL 1 CCJC => PL 7687/2017                                       | esquerda  |        15 |         0 |      0 |          15 |   100.0
      2023 | 2139049-52  | PRL 1 CCJC => PL 7722/2017                                       | centro    |         8 |         7 |      0 |          15 |    53.3
      2023 | 2139049-52  | PRL 1 CCJC => PL 7722/2017                                       | direita   |        16 |         2 |      0 |          18 |    88.9
      2023 | 2139049-52  | PRL 1 CCJC => PL 7722/2017                                       | esquerda  |         0 |        15 |      0 |          15 |     0.0
      2023 | 2141497-80  | PRL 1 CCJC => PL 7876/2017                                       | centro    |         6 |         7 |      0 |          13 |    46.2
      2023 | 2141497-80  | PRL 1 CCJC => PL 7876/2017                                       | direita   |         6 |         6 |      1 |          13 |    46.2
      2023 | 2141497-80  | PRL 1 CCJC => PL 7876/2017                                       | esquerda  |         0 |        11 |      0 |          11 |     0.0
      2023 | 2146350-85  | PRL 1 CCJC => PL 8168/2017                                       | centro    |         5 |         8 |      0 |          13 |    38.5
