 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Cultura e sociedade         |         4 |         7 |          0 |          11
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Cultura e sociedade         |         0 |         1 |          0 |           1
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Cultura e sociedade         |        20 |        14 |          0 |          34
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Cultura e sociedade         |         6 |         1 |          0 |           7
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Economico                   |        56 |        39 |          0 |          95
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Economico                   |        67 |        42 |          0 |         109
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Economico                   |        50 |        35 |          0 |          85
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Economico                   |        16 |         7 |          0 |          23
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Infraestrutura e tecnologia |         1 |         2 |          0 |           3
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Infraestrutura e tecnologia |        12 |         3 |          0 |          15
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Infraestrutura e tecnologia |        11 |         8 |          0 |          19
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Infraestrutura e tecnologia |         0 |         1 |          0 |           1
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Institucional e juridico    |         9 |        13 |          0 |          22
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Institucional e juridico    |        27 |        13 |          0 |          40
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Institucional e juridico    |        73 |        47 |          0 |         120
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Institucional e juridico    |        16 |        12 |          0 |          28
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Internacional               |         0 |         1 |          0 |           1
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Internacional               |         1 |         0 |          0 |           1
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Internacional               |         6 |         7 |          0 |          13
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Internacional               |         2 |         1 |          0 |           3
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Seguranca                   |         2 |         2 |          0 |           4
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Seguranca                   |         8 |         3 |          0 |          11
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Seguranca                   |        10 |        14 |          0 |          24
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Seguranca                   |        10 |        11 |          0 |          21
      2023 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Social                      |        11 |         6 |          0 |          17
      2024 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Social                      |        15 |         5 |          0 |          20
      2025 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Social                      |        53 |        42 |          0 |          95
      2026 |      204560 | ADOLFO VIANA DE CASTRO NETO                         | Social                      |        11 |         8 |          0 |          19
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Ambiental e energetico      |         9 |         6 |          0 |          18
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Ambiental e energetico      |        23 |        19 |          0 |          44
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Ambiental e energetico      |        23 |        20 |          0 |          53
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Ambiental e energetico      |         4 |         6 |          0 |          10
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Cultura e sociedade         |        11 |         4 |          0 |          21
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Cultura e sociedade         |         1 |         0 |          0 |           1
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Cultura e sociedade         |        15 |        18 |          0 |          44
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Cultura e sociedade         |         9 |         3 |          0 |          12
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Economico                   |        66 |        53 |          0 |         151
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Economico                   |        92 |        60 |          0 |         171
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Economico                   |        41 |        50 |          0 |         107
      2026 |      204528 | ADRIANA MIGUEL VENTURA                              | Economico                   |        17 |        16 |          0 |          33
      2023 |      204528 | ADRIANA MIGUEL VENTURA                              | Infraestrutura e tecnologia |        10 |         9 |          0 |          20
      2024 |      204528 | ADRIANA MIGUEL VENTURA                              | Infraestrutura e tecnologia |        14 |        10 |          0 |          24
      2025 |      204528 | ADRIANA MIGUEL VENTURA                              | Infraestrutura e tecnologia |        16 |        13 |          0 |          35
