      escolaridade       | id_deputado |                        nome                         
 Superior                |      204368 | FÁBIO LUIZ SCHIOCHET FILHO
 Superior                |       74065 | FÁTIMA LÚCIA PELAES
 Superior                |       66828 | FAUSTO RUY PINATO
 Superior                |      220712 | FAUSTO VIEIRA DOS SANTOS JUNIOR
 Superior                |      220646 | FELIPE BECARI COMENALE
 Superior                |      160666 | FELIX DE ALMEIDA MENDONÇA JÚNIOR
 Superior                |      220656 | FERNANDA ENEIDA PESSOA CARACAS DE SOUZA
 Superior                |      204407 | FERNANDA MELCHIONNA E SILVA
 Superior                |      141431 | FERNANDO BEZERRA DE SOUZA COELHO FILHO
 Superior                |       74383 | FERNANDO LÚCIO GIACOBO
 Superior                |       92699 | FERNANDO MONTEIRO DE ALBUQUERQUE
 Superior                |      204427 | FERNANDO RODOLFO TENORIO DE VASCONCELOS
 Superior                |      204445 | FERNANDO WANDERLEY VARGAS DA SILVA
 Superior                |      204411 | FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO
 Superior                |      220545 | FILIPE MARTINS DOS SANTOS
 Superior                |      160598 | FLÁVIA CARREIRO ALBUQUERQUE MORAIS
 Superior                |      191923 | FLÁVIO RODRIGUES NOGUEIRA
 Superior                |      220551 | FRANCIANE ABADE BAYER MULLER
 Superior                |      226553 | FRANCISCA ELIANE BRAZ DE CARVALHO
 Superior                |      162067 | FRANCISCO DANIEL CELEGUIM DE MORAIS
 Superior                |       62881 | FRANCISCO DANILO BASTOS FORTE
 Superior                |      204518 | FREDERICO DE CASTRO ESCALEIRA
 Superior                |      224117 | GABRIEL MOTA E SILVA
 Superior                |      220587 | GEHLEN DINIZ ANDRADE
 Superior                |      204520 | GERALDO JUNIO DO AMARAL
 Superior                |       74374 | GERALDO RESENDE PEREIRA
 Superior                |      204394 | GERVÁSIO AGRIPINO MAIA
 Superior                |      220574 | GILBERTO GOMES DA SILVA
 Superior                |       74270 | GILBERTO NASCIMENTO SILVA
 Superior                |      204570 | GILDENEMIR DE LIMA SOUSA
 Superior                |      220526 | GILVAN AGUIAR COSTA
 Superior                |      226179 | GISELA SIMONA VIANA DE SOUZA
 Superior                |      152605 | GLAUBER DE MEDEIROS BRAGA
 Superior                |      204419 | GLAUSKSTON BATISTA RIOS
 Superior                |      198197 | GREYCE DE QUEIROZ ELIAS
 Superior                |      220664 | GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR
 Superior                |      220568 | GUSTAVO GAYER MACHADO DE ARAUJO
 Superior                |      204444 | HELIO FERNANDO BARBOSA LOPES
 Superior                |      178909 | HELIO LEITE DA SILVA
 Superior                |      234788 | HELOÍSA HELENA LIMA DE MORAES CARVALHO
 Superior                |      213762 | HILKEA CARLA DE SOUZA MEDEIROS LIMA
 Superior                |      141450 | HUGO LEAL MELO DA SILVA
 Superior                |      160674 | HUGO MOTTA WANDERLEY DA NÓBREGA
 Superior                |      204358 | HUMBERTO REZENDE PEREIRA
 Superior                |      235620 | ILACIR BICALHO DE BARROS
 Superior                |       98615 | ISMAEL DOS SANTOS
 Superior                |      204436 | ISNALDO BULHOES BARROS JUNIOR
 Superior                |       73531 | IVAN VALENTE
 Superior                |      220696 | IVONEIDE SOUZA CAETANO
 Superior                |      204481 | JAZIEL PEREIRA DE SOUSA
 Superior                |       74273 | JEFFERSON ALVES DE CAMPOS
 Superior                |      141456 | JILMAR AUGUSTINHO TATTO
 Superior                |       73579 | JOÃO ALBERTO FRAGA SILVA
 Superior                |      160556 | JOÃO CARLOS SIQUEIRA
