Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                             fornecedor                                             | qtd_lancamentos | total_pago  
      2024 |       5 | COMBUSTÍVEIS E LUBRIFICANTES.                             | MACTRA COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA                                               |              48 |   142572.41
      2024 |       1 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | Facebook Serviços Online do Brasil ltda                                                            |             390 |  1210426.84
      2024 |       2 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | ELDORADO COMUNICACAO E JORNALISMO LTDA                                                             |             142 |   898200.00
      2024 |       3 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA                                                            |             270 |   813451.86
      2024 |       4 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL                                                      |              47 |   685497.54
      2024 |       5 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | DIAMOND COMERCIO E SERVICOS LTDA - DIAMOND                                                         |              29 |   550700.00
      2024 |       1 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC                                                   |            1419 |    87068.61
      2024 |       2 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | TAIOBA SELF-SERVICE LTDA EPP                                                                       |             380 |    12700.57
      2024 |       3 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | PETRUS GASTRONOMIA E SERVICOS LTDA                                                                 |             188 |     9076.35
      2024 |       4 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | C.B. BRASILIA COMERCIO DE ALIMENTOS LTDA                                                           |              56 |     7596.59
      2024 |       5 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | DO SUL RESTAURANTE LTDA                                                                            |             102 |     7154.45
      2024 |       1 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | INVESTCITY INVESTIMENTOS E ADM DE IMOVEI                                                           |              37 |    85159.58
      2024 |       2 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | PAIAGUAS HOTEIS LTDA                                                                               |              82 |    43557.00
      2024 |       3 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HOTEL PHENICIA LTDA                                                                                |              39 |    38586.46
      2024 |       4 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | Booking                                                                                            |               2 |    36117.30
      2024 |       5 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | Viapara Hoteis e Turismo Ltda                                                                      |               2 |    33154.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA - CLEITON TAXI AEREO LTDA                                                                      |              24 |   546300.00
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | HEISS TAXI AEREO LTDA - EPP                                                                        |              12 |   253982.71
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | ATA AEROTAXI ABAETE LTDA                                                                           |               8 |   243320.00
      2024 |       4 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | AMAZONAVES TAXI AEREO LTDA                                                                         |               5 |   173500.00
      2024 |       5 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | R L FERREIRA - SERVIÇOS E AGENCIAMENTO LTDA                                                        |               2 |   155000.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                                                |              33 |   198000.00
