Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
      204506 | MARCOS ANTONIO PEREIRA                              | SP       | REPUBLICANOS  |  1603382.13
      179000 | MARCELO HENRIQUE TEIXEIRA DIAS                      | MG       | PL            |  1602268.44
      204390 | ALCIDES RIBEIRO FILHO                               | GO       | PSDB          |  1600819.06
      160632 | JOSÉ SILVA SOARES                                   | MG       | UNIAO         |  1600046.13
      204355 | JOSIAS MARIO DA VITORIA                             | ES       | PP            |  1597973.00
      178931 | LUCIANO DUCCI                                       | PR       | PSB           |  1597796.88
      220649 | CARLOS ALBERTO DA CUNHA                             | SP       | UNIAO         |  1596908.49
      205476 | CHARLES FERNANDES SILVEIRA SANTANA                  | BA       | PSD           |  1595575.00
      220560 | JOSE THIAGO ALVES DE CARVALHO                       | SE       | REPUBLICANOS  |  1595341.85
      178987 | ORLANDO SILVA DE JESUS JUNIOR                       | SP       | PCDOB         |  1594459.78
      107970 | ANA PAULA PROCOPIO JUNQUEIRA                        | MG       | PP            |  1592909.98
      204391 | JOSÉ NELTO LAGARES DAS MERCEZ                       | GO       | UNIAO         |  1590673.07
      220595 | RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA      | MT       | PL            |  1590508.76
      204411 | FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO            | PR       | PL            |  1587626.92
      178970 | JOAO SOMARIVA DANIEL                                | SE       | PT            |  1587287.83
      204395 | PEDRO DEBONI LUPION MELLO                           | PR       | REPUBLICANOS  |  1587200.83
      160666 | FELIX DE ALMEIDA MENDONÇA JÚNIOR                    | BA       | PDT           |  1586039.89
      179001 | MARCIO DELLA VALLE BIOLCHI                          | RS       | MDB           |  1583740.14
      221148 | ALFREDO ALVES CAVALCANTE                            | SP       | PT            |  1583446.77
       74856 | MARIA LAURA MONTEZA DE SOUZA CARNEIRO               | RJ       | PSD           |  1582015.97
      220647 | MANOEL MAURICIO SILVA NEVES                         | SP       | PP            |  1580915.51
      220570 | ISMAEL ALEXANDRINO JUNIOR                           | GO       | PSD           |  1580749.02
      220652 | MARIO PALUMBO JUNIOR                                | SP       | PODE          |  1580046.71
       74273 | JEFFERSON ALVES DE CAMPOS                           | SP       | PL            |  1579115.78
      204455 | LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA        | RJ       | NOVO          |  1576217.87
      206018 | CÉLIA NUNES CORREA                                  | MG       | PSOL          |  1575094.04
      160592 | JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA              | PR       | PT            |  1573658.78
      220700 | FLORENTINO ALVES VERAS NETO                         | PI       | PT            |  1571827.75
      204517 | JOSE VITOR DE RESENDE AGUIAR                        | MG       | PL            |  1567072.93
      160518 | WELITON FERNANDES PRADO                             | MG       | PSD           |  1566468.95
       74262 | CARLOS HENRIQUE FOCESI SAMPAIO                      | SP       | PSD           |  1566383.13
      204492 | PAULO JOSE CARLOS GUEDES                            | MG       | PT            |  1566229.39
      224333 | ELTON CARLOS WELTER                                 | PR       | PT            |  1563761.72
      220659 | DAYANY BITTENCOURT SANTIL                           | CE       | UNIAO         |  1562341.51
       74253 | JULIO LUIZ BAPTISTA LOPES                           | RJ       | PP            |  1561948.57
      198783 | EMANUEL PINHEIRO DA SILVA PRIMO                     | MT       | PSD           |  1553352.79
       74537 | CLÁUDIO CAJADO SAMPAIO                              | BA       | PP            |  1552028.87
       74574 | PAULO SÉRGIO PARANHOS DE MAGALHÃES                  | BA       | PSD           |  1549923.58
      205865 | REINHOLD STEPHANES JUNIOR                           | PR       | PL            |  1549519.85
       74585 | LINCOLN DINIZ PORTELA                               | MG       | PL            |  1545392.72
      204574 | JOSE LOURENÇO BOMFIM JUNIOR                         | MA       | MDB           |  1544119.73
      204491 | GILBERTO APARECIDO ABRAMO                           | MG       | REPUBLICANOS  |  1543884.90
      204550 | ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR                  | CE       | PSB           |  1542822.70
      178947 | SOSTENES SILVA CAVALCANTE                           | RJ       | PL            |  1542584.04
      220527 | JACKELINE OLIVEIRA ROCHA                            | ES       | PT            |  1541767.45
       74160 | PATRUS ANANIAS DE SOUZA                             | MG       | PT            |  1537981.64
      220683 | CARLOS ALBERTO RICHA                                | PR       | PSDB          |  1537473.78
      204566 | ANTONIO DA CRUZ FILGUEIRA NETO                      | MA       | PRD           |  1532300.24
       98057 | LAFAYETTE LUIZ DOORGAL DE ANDRADA                   | MG       | PL            |  1531037.10
      204441 | OTONI MOURA DE PAULO JUNIOR                         | RJ       | PSD           |  1528785.29
      160588 | DIEGO LEONARDO DE ANDRADE CARVALHO                  | MG       | PSD           |  1528635.16
      222429 | LUIS CARLOS GOMES DA SILVA                          | RJ       | REPUBLICANOS  |  1527930.69
      220611 | EDUARDO PAZUELLO                                    | RJ       | PL            |  1527576.41
      178989 | RENATA HELLMEISTER DE ABREU                         | SP       | PODE          |  1526267.42
      204525 | ROSANA DE OLIVEIRA VALLE                            | SP       | PL            |  1525764.62
      160535 | DIONILSO MATEUS MARCON                              | RS       | PT            |  1523519.59
      220635 | BRUNO AREVALO GANEM                                 | SP       | PODE          |  1523418.29
      161550 | EMIDIO ALVES MADEIRA JUNIOR                         | MG       | PL            |  1522885.93
      220655 | MARIO LUIS FRIAS                                    | SP       | PL            |  1521915.02
      220674 | ALESSANDRA HABER CARVALHO SANTOS                    | PA       | PODE          |  1519722.50
      166402 | MAGDA MOFATTO HON                                   | GO       | PL            |  1519704.05
      205550 | JORGE BRAZ DE OLIVEIRA                              | RJ       | REPUBLICANOS  |  1519432.62
