Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
      74454 |                    Eunício Oliveira |                  48 |                     0 |          0.00
     178871 |                Evair Vieira de Melo |                1144 |                     0 |          0.00
     234388 |                      Fabiano Cazeca |                   2 |                     0 |          0.00
     178905 |                        Fabio Garcia |                 113 |                     0 |          0.00
     171623 |                          Fabio Reis |                  39 |                     0 |          0.00
     204368 |                     Fabio Schiochet |                 102 |                     0 |          0.00
      74065 |                       Fatima Pelaes |                   9 |                     0 |          0.00
      66828 |                       Fausto Pinato |                 436 |                     0 |          0.00
     220646 |                       Felipe Becari |                 660 |                     0 |          0.00
     227370 |                       Felipe Saliba |                   2 |                     0 |          0.00
     204407 |                 Fernanda Melchionna |                 489 |                     0 |          0.00
     141431 |               Fernando Coelho Filho |                  61 |                     0 |          0.00
     204445 |                    Fernando Mineiro |                 155 |                     0 |          0.00
     204427 |                    Fernando Rodolfo |                 353 |                     0 |          0.00
     225727 |                            Flavinha |                  14 |                     0 |          0.00
     204494 |                          Fred Costa |                 397 |                     0 |          0.00
     220653 |                        Fábio Teruel |                  42 |                     0 |          0.00
     160666 |               Félix Mendonça Júnior |                 506 |                     0 |          0.00
     204473 |                       General Girão |                 395 |                     0 |          0.00
     220611 |                    General Pazuello |                 264 |                     0 |          0.00
     178966 |                      Geovania de Sá |                 154 |                     0 |          0.00
     220702 |                      Geraldo Mendes |                 265 |                     0 |          0.00
      74374 |                     Geraldo Resende |                 399 |                     0 |          0.00
     204394 |                       Gervásio Maia |                 197 |                     0 |          0.00
      74383 |                             Giacobo |                 211 |                     0 |          0.00
      74270 |                 Gilberto Nascimento |                 194 |                     0 |          0.00
     220526 |                   Gilvan da Federal |                 203 |                     0 |          0.00
     226179 |                       Gisela Simona |                  80 |                     0 |          0.00
     152605 |                       Glauber Braga |                 163 |                     0 |          0.00
     204419 |                   Glaustin da Fokus |                 109 |                     0 |          0.00
     107283 |                     Gleisi Hoffmann |                 173 |                     0 |          0.00
     129618 |                      Gorete Pereira |                   5 |                     0 |          0.00
     198197 |                        Greyce Elias |                 198 |                     0 |          0.00
     220639 |                    Guilherme Boulos |                 508 |                     0 |          0.00
     204531 |                   Guilherme Derrite |                  12 |                     0 |          0.00
