Q11_extra - Nuvem de palavras por partido: temas das proposicoes

Q11_extra - Frequencia de temas por partido (todos os anos)
 sigla_partido | tema                                        | frequencia 
 PRD           | Administração Pública                       |        112 
 PRD           | Finanças Públicas e Orçamento               |         78 
 PRD           | Defesa e Segurança                          |         70 
 PRD           | Meio Ambiente e Desenvolvimento Sustentável |         59 
 PRD           | Trabalho e Emprego                          |         43 
 PRD           | Direito Penal e Processual Penal            |         40 
 PRD           | Educação                                    |         40 
 PRD           | Viação, Transporte e Mobilidade             |         37 
 PRD           | Previdência e Assistência Social            |         35 
 PRD           | Economia                                    |         30 
 PRD           | Cidades e Desenvolvimento Urbano            |         29 
 PRD           | Indústria, Comércio e Serviços              |         29 
 PRD           | Direito e Justiça                           |         15 
 PRD           | Esporte e Lazer                             |         15 
 PRD           | Direito e Defesa do Consumidor              |         15 
 PRD           | Comunicações                                |         15 
 PRD           | Energia, Recursos Hídricos e Minerais       |         14 
 PRD           | Relações Internacionais e Comércio Exterior |         11 
 PRD           | Direito Civil e Processual Civil            |         11 
 PRD           | Homenagens e Datas Comemorativas            |          9 
 PRD           | Processo Legislativo e Atuação Parlamentar  |          8 
 PRD           | Ciência, Tecnologia e Inovação              |          8 
 PRD           | Política, Partidos e Eleições               |          7 
 PRD           | Agricultura, Pecuária, Pesca e Extrativismo |          7 
 PRD           | Direito Constitucional                      |          6 
 PRD           | Arte, Cultura e Religião                    |          5 
 PRD           | Turismo                                     |          3 
 PRD           | Estrutura Fundiária                         |          2 
 PROS          | Finanças Públicas e Orçamento               |          9 
 PROS          | Administração Pública                       |          4 
 PROS          | Cidades e Desenvolvimento Urbano            |          4 
 PROS          | Direitos Humanos e Minorias                 |          3 
 PROS          | Viação, Transporte e Mobilidade             |          3 
 PROS          | Economia                                    |          2 
 PROS          | Processo Legislativo e Atuação Parlamentar  |          2 
 PROS          | Relações Internacionais e Comércio Exterior |          2 
 PROS          | Arte, Cultura e Religião                    |          2 
 PROS          | Saúde                                       |          2 
 PROS          | Defesa e Segurança                          |          2 
 PROS          | Direito Constitucional                      |          1 
 PROS          | Energia, Recursos Hídricos e Minerais       |          1 
 PROS          | Direito e Defesa do Consumidor              |          1 
 PROS          | Comunicações                                |          1 
 PROS          | Direito Penal e Processual Penal            |          1 
 PROS          | Direito Civil e Processual Civil            |          1 
 PSB           | Direitos Humanos e Minorias                 |        360 
 PSB           | Saúde                                       |        257 
 PSB           | Finanças Públicas e Orçamento               |        220 
 PSB           | Administração Pública                       |        214 
 PSB           | Direito Civil e Processual Civil            |        182 
 PSB           | Trabalho e Emprego                          |        180 
 PSB           | Educação                                    |        147 
 PSB           | Indústria, Comércio e Serviços              |        146 
 PSB           | Defesa e Segurança                          |        123 
 PSB           | Direito e Defesa do Consumidor              |        116 
 PSB           | Direito Penal e Processual Penal            |        106 
 PSB           | Economia                                    |         99 
 PSB           | Homenagens e Datas Comemorativas            |         96 
 PSB           | Previdência e Assistência Social            |         87 
 PSB           | Meio Ambiente e Desenvolvimento Sustentável |         87 
 PSB           | Viação, Transporte e Mobilidade             |         75 
 PSB           | Arte, Cultura e Religião                    |         66 
 PSB           | Esporte e Lazer                             |         54 
 PSB           | Comunicações                                |         52 
 PSB           | Cidades e Desenvolvimento Urbano            |         45 
 PSB           | Direito e Justiça                           |         38 
 PSB           | Energia, Recursos Hídricos e Minerais       |         35 
 PSB           | Processo Legislativo e Atuação Parlamentar  |         33 
 PSB           | Ciência, Tecnologia e Inovação              |         33 
 PSB           | Agricultura, Pecuária, Pesca e Extrativismo |         21 
 PSB           | Relações Internacionais e Comércio Exterior |         19 
 PSB           | Política, Partidos e Eleições               |         16 
 PSB           | Direito Constitucional                      |         13 
 PSB           | Turismo                                     |          9 
 PSB           | Estrutura Fundiária                         |          3 
 PSC           | Saúde                                       |          6 
 PSC           | Direitos Humanos e Minorias                 |          4 
 PSC           | Homenagens e Datas Comemorativas            |          4 
 PSC           | Arte, Cultura e Religião                    |          4 
 PSC           | Finanças Públicas e Orçamento               |          4 
 PSC           | Trabalho e Emprego                          |          3 
 PSC           | Defesa e Segurança                          |          3 
 PSC           | Processo Legislativo e Atuação Parlamentar  |          3 
 PSC           | Economia                                    |          2 
 PSC           | Direito Penal e Processual Penal            |          2 
 PSC           | Comunicações                                |          2 
 PSC           | Direito Civil e Processual Civil            |          2 
 PSC           | Previdência e Assistência Social            |          1 
 PSC           | Ciência, Tecnologia e Inovação              |          1 
 PSC           | Direito e Defesa do Consumidor              |          1 
 PSC           | Viação, Transporte e Mobilidade             |          1 
 PSC           | Turismo                                     |          1 
 PSC           | Direito e Justiça                           |          1 
 PSC           | Indústria, Comércio e Serviços              |          1 
 PSC           | Administração Pública                       |          1 
 PSC           | Relações Internacionais e Comércio Exterior |          1 
 PSC           | Direito Constitucional                      |          1 
 PSD           | Direitos Humanos e Minorias                 |       1308 
 PSD           | Saúde                                       |        892 
 PSD           | Administração Pública                       |        700 
 PSD           | Educação                                    |        681 
 PSD           | Finanças Públicas e Orçamento               |        632 
 PSD           | Esporte e Lazer                             |        492 
 PSD           | Meio Ambiente e Desenvolvimento Sustentável |        471 
 PSD           | Economia                                    |        469 
 PSD           | Defesa e Segurança                          |        415 
 PSD           | Comunicações                                |        394 
 PSD           | Trabalho e Emprego                          |        391 
 PSD           | Indústria, Comércio e Serviços              |        334 
 PSD           | Direito Penal e Processual Penal            |        241 
 PSD           | Arte, Cultura e Religião                    |        228 
 PSD           | Previdência e Assistência Social            |        208 
 PSD           | Ciência, Tecnologia e Inovação              |        197 
 PSD           | Turismo                                     |        170 
 PSD           | Viação, Transporte e Mobilidade             |        148 
 PSD           | Homenagens e Datas Comemorativas            |        135 
 PSD           | Cidades e Desenvolvimento Urbano            |        131 
 PSD           | Direito Civil e Processual Civil            |        112 
 PSD           | Direito e Defesa do Consumidor              |         88 
 PSD           | Energia, Recursos Hídricos e Minerais       |         87 
 PSD           | Agricultura, Pecuária, Pesca e Extrativismo |         86 
 PSD           | Processo Legislativo e Atuação Parlamentar  |         64 
 PSD           | Direito e Justiça                           |         58 
 PSD           | Relações Internacionais e Comércio Exterior |         56 
 PSD           | Política, Partidos e Eleições               |         31 
 PSD           | Estrutura Fundiária                         |         21 
 PSD           | Direito Constitucional                      |         21 
 PSD           | Ciências Exatas e da Terra                  |          2 
 PSD           | Ciências Sociais e Humanas                  |          1 
 PSDB          | Direitos Humanos e Minorias                 |        136 
 PSDB          | Administração Pública                       |        121 
 PSDB          | Saúde                                       |        113 
 PSDB          | Finanças Públicas e Orçamento               |         89 
 PSDB          | Direito e Defesa do Consumidor              |         78 
 PSDB          | Energia, Recursos Hídricos e Minerais       |         56 
 PSDB          | Indústria, Comércio e Serviços              |         55 
 PSDB          | Trabalho e Emprego                          |         51 
 PSDB          | Defesa e Segurança                          |         49 
 PSDB          | Meio Ambiente e Desenvolvimento Sustentável |         46 
 PSDB          | Direito Penal e Processual Penal            |         44 
 PSDB          | Viação, Transporte e Mobilidade             |         43 
 PSDB          | Comunicações                                |         41 
 PSDB          | Cidades e Desenvolvimento Urbano            |         41 
 PSDB          | Economia                                    |         38 
 PSDB          | Homenagens e Datas Comemorativas            |         37 
 PSDB          | Educação                                    |         29 
 PSDB          | Processo Legislativo e Atuação Parlamentar  |         26 
 PSDB          | Arte, Cultura e Religião                    |         25 
 PSDB          | Previdência e Assistência Social            |         21 
 PSDB          | Política, Partidos e Eleições               |         15 
 PSDB          | Esporte e Lazer                             |         14 
 PSDB          | Direito e Justiça                           |         14 
 PSDB          | Agricultura, Pecuária, Pesca e Extrativismo |         14 
 PSDB          | Relações Internacionais e Comércio Exterior |         13 
 PSDB          | Direito Constitucional                      |         13 
 PSDB          | Direito Civil e Processual Civil            |         10 
 PSDB          | Ciência, Tecnologia e Inovação              |          7 
 PSDB          | Estrutura Fundiária                         |          6 
 PSDB          | Turismo                                     |          5 
 PSOL          | Direitos Humanos e Minorias                 |        358 
 PSOL          | Administração Pública                       |        213 
 PSOL          | Educação                                    |        152 
 PSOL          | Defesa e Segurança                          |        137 
 PSOL          | Saúde                                       |        135 
 PSOL          | Trabalho e Emprego                          |        127 
 PSOL          | Finanças Públicas e Orçamento               |        119 
 PSOL          | Meio Ambiente e Desenvolvimento Sustentável |         99 
 PSOL          | Homenagens e Datas Comemorativas            |         70 
 PSOL          | Direito Penal e Processual Penal            |         68 
 PSOL          | Arte, Cultura e Religião                    |         60 
 PSOL          | Previdência e Assistência Social            |         58 
 PSOL          | Economia                                    |         48 
 PSOL          | Comunicações                                |         43 
 PSOL          | Indústria, Comércio e Serviços              |         41 
 PSOL          | Relações Internacionais e Comércio Exterior |         35 
 PSOL          | Processo Legislativo e Atuação Parlamentar  |         32 
 PSOL          | Cidades e Desenvolvimento Urbano            |         31 
 PSOL          | Energia, Recursos Hídricos e Minerais       |         30 
 PSOL          | Agricultura, Pecuária, Pesca e Extrativismo |         29 
 PSOL          | Direito e Justiça                           |         29 
 PSOL          | Direito Civil e Processual Civil            |         28 
 PSOL          | Ciência, Tecnologia e Inovação              |         28 
 PSOL          | Direito e Defesa do Consumidor              |         27 
 PSOL          | Viação, Transporte e Mobilidade             |         24 
 PSOL          | Política, Partidos e Eleições               |         21 
 PSOL          | Esporte e Lazer                             |         18 
 PSOL          | Estrutura Fundiária                         |         14 
 PSOL          | Direito Constitucional                      |         11 
 PSOL          | Turismo                                     |          6 
 PSOL          | Ciências Sociais e Humanas                  |          2 
 PT            | Direitos Humanos e Minorias                 |        785 
 PT            | Administração Pública                       |        493 
 PT            | Trabalho e Emprego                          |        363 
 PT            | Finanças Públicas e Orçamento               |        353 
 PT            | Saúde                                       |        338 
 PT            | Educação                                    |        290 
 PT            | Homenagens e Datas Comemorativas            |        221 
 PT            | Defesa e Segurança                          |        220 
 PT            | Indústria, Comércio e Serviços              |        218 
 PT            | Meio Ambiente e Desenvolvimento Sustentável |        211 
 PT            | Economia                                    |        187 
 PT            | Direito Penal e Processual Penal            |        172 
 PT            | Comunicações                                |        147 
 PT            | Previdência e Assistência Social            |        137 
 PT            | Arte, Cultura e Religião                    |        136 
 PT            | Viação, Transporte e Mobilidade             |        131 
 PT            | Agricultura, Pecuária, Pesca e Extrativismo |        128 
 PT            | Direito Civil e Processual Civil            |        117 
 PT            | Direito e Defesa do Consumidor              |        116 
 PT            | Ciência, Tecnologia e Inovação              |        108 
 PT            | Energia, Recursos Hídricos e Minerais       |        105 
